"Source:","/Users/nathanrignall/Documents/Development/Projects/Artnet Confetti/R2/PicoPyro/Hardware/PicoPyro.kicad_sch"
"Date:","Friday, 04 November 2022 at 15:47:25"
"Tool:","Eeschema (6.0.8-1)-1"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","46"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","PN","SNAPEDA_PN","STANDARD"
"","","C101","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","","","LMK105B7104KVHF","",""
"","","C102","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","","","LMK105B7104KVHF","",""
"","","C301","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","","","","","","","","LMK105B7104KVHF","",""
"","","C501","10u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","","",""
"","","C502","10u","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","","","","","","","","","","","",""
"","","D201","LED","Device:LED","LED_SMD:LED_0603_1608Metric","~","","","","","","","","","","","",""
"","","D211","LED","Device:LED","LED_SMD:LED_0603_1608Metric","~","","","","","","","","","","","",""
"","","D301","WS2812B","LED:WS2812B","LED_SMD:LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm","https://cdn-shop.adafruit.com/datasheets/WS2812B.pdf","","","","","","","","","","","",""
"","","D401","LED","Device:LED","LED_SMD:LED_0603_1608Metric","~","","","","","","","","","","","",""
"","","D411","LED","Device:LED","LED_SMD:LED_0603_1608Metric","~","","","","","","","","","","","",""
"","","D601","LED","Device:LED","LED_SMD:LED_0603_1608Metric","~","","","","","","","","","","","",""
"","","F201","0679H9100-05","0679H9100-05:0679H9100-05","FUSC6125X279N","https://www.belfuse.com/resources/datasheets/circuitprotection/ds-cp-0679h-series.pdf","Surface Mount Fuses 10A 350 VAC 72 VCD","2.79","","","Stewart Connector","0679H9100-05","530-0679H9100-05","https://www.mouser.co.uk/ProductDetail/Bel-Fuse/0679H9100-05?qs=acBVhj9v9XU5kfUTxwyepA%3D%3D","","","",""
"","","F211","0679H9100-05","0679H9100-05:0679H9100-05","FUSC6125X279N","https://www.belfuse.com/resources/datasheets/circuitprotection/ds-cp-0679h-series.pdf","Surface Mount Fuses 10A 350 VAC 72 VCD","2.79","","","Stewart Connector","0679H9100-05","530-0679H9100-05","https://www.mouser.co.uk/ProductDetail/Bel-Fuse/0679H9100-05?qs=acBVhj9v9XU5kfUTxwyepA%3D%3D","","","",""
"","","J001","Conn_01x06","Connector_Generic:Conn_01x06","Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","J101","XLR3","Connector:XLR3","Connector_Audio:Jack_XLR_Neutrik_NC3FAAH_Horizontal"," ~","","","","","","","","","","","",""
"","","J102","XLR3","Connector:XLR3","Connector_Audio:Jack_XLR_Neutrik_NC3MAAH_Horizontal"," ~","","","","","","","","","","","",""
"","","J103","Conn_01x03","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","J201","TB005-762-02BE","TB005-762-02BE:TB005-762-02BE","TB00576202BE","https://componentsearchengine.com/Datasheets/1/TB005-762-02BE.pdf","Fixed Terminal Blocks screw type, 7.62 , horizontal, 2 poles, CUI Blue, slotted screw, PCB mount","21.7","","","CUI Inc.","TB005-762-02BE","490-TB005-762-02BE","https://www.mouser.co.uk/ProductDetail/CUI-Devices/TB005-762-02BE?qs=vLWxofP3U2zXv1H2wuShow%3D%3D","","","",""
"","","J202","TB005-762-02BE","TB005-762-02BE:TB005-762-02BE","TB00576202BE","https://componentsearchengine.com/Datasheets/1/TB005-762-02BE.pdf","Fixed Terminal Blocks screw type, 7.62 , horizontal, 2 poles, CUI Blue, slotted screw, PCB mount","21.7","","","CUI Inc.","TB005-762-02BE","490-TB005-762-02BE","https://www.mouser.co.uk/ProductDetail/CUI-Devices/TB005-762-02BE?qs=vLWxofP3U2zXv1H2wuShow%3D%3D","","","",""
"","","J501","TB005-762-02BE","TB005-762-02BE:TB005-762-02BE","TB00576202BE","https://componentsearchengine.com/Datasheets/1/TB005-762-02BE.pdf","Fixed Terminal Blocks screw type, 7.62 , horizontal, 2 poles, CUI Blue, slotted screw, PCB mount","21.7","","","CUI Inc.","TB005-762-02BE","490-TB005-762-02BE","https://www.mouser.co.uk/ProductDetail/CUI-Devices/TB005-762-02BE?qs=vLWxofP3U2zXv1H2wuShow%3D%3D","","","",""
"","","J502","Conn_01x02","Connector_Generic:Conn_01x02","Connector_AMASS:AMASS_XT30U-F_1x02_P5.0mm_Vertical","~","","","","","","","","","","","",""
"","","J503","Conn_01x02","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","PS101","MEE1S0503SC","Converter_DCDC:MEE1S0503SC","Converter_DCDC:Converter_DCDC_Murata_MEE1SxxxxSC_THT","https://power.murata.com/pub/data/power/ncl/kdc_mee1.pdf","","","","","","","","","","","",""
